#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520616230637878799,0.7147527825,-0.5030648838,1.3887194529,0.9993843428,-0.0230594927,-0.0223776304,-0.0140867580
1520616230646211799,0.7146449592,-0.5028256689,1.3886301959,0.9993664899,-0.0232038508,-0.0229789145,-0.0141481339
1520616230654545799,0.7141909500,-0.5027774563,1.3888723783,0.9993743352,-0.0237895332,-0.0218689705,-0.0143786106
1520616230662878799,0.7141718961,-0.5026719156,1.3888959255,0.9993680991,-0.0235169475,-0.0222262476,-0.0147088254
1520616230671211799,0.7139637791,-0.5027881209,1.3892996715,0.9993483786,-0.0247086225,-0.0217024955,-0.0148762830
1520616230679544799,0.7137371592,-0.5026672600,1.3891981856,0.9993301716,-0.0243356838,-0.0223500743,-0.0157307626
1520616230687878799,0.7134929947,-0.5027320913,1.3895325653,0.9993230379,-0.0252489353,-0.0215107503,-0.0159136661
1520616230696211799,0.7135613605,-0.5027283828,1.3895461914,0.9993615219,-0.0240940736,-0.0210975650,-0.0158403563
1520616230704545799,0.7132993537,-0.5027764984,1.3898130553,0.9993610496,-0.0247876377,-0.0202271139,-0.0159351647
1520616230712878799,0.7135557411,-0.5030590605,1.3901287139,0.9993193145,-0.0255489973,-0.0210905342,-0.0162279335
1520616230721211799,0.7130674687,-0.5029381949,1.3902398306,0.9993139767,-0.0259396946,-0.0205151774,-0.0166684047
1520616230729545799,0.7132571200,-0.5029598642,1.3904313152,0.9992962731,-0.0261480608,-0.0211539925,-0.0166056016
1520616230737878799,0.7128259055,-0.5028885598,1.3906117173,0.9992854100,-0.0266527291,-0.0208259625,-0.0168695171
1520616230746211799,0.7130690821,-0.5028271833,1.3906851074,0.9992875879,-0.0263430696,-0.0214197857,-0.0164788362
1520616230754544799,0.7129262885,-0.5028685571,1.3909727801,0.9992837777,-0.0269045596,-0.0211072869,-0.0162036633
1520616230762878799,0.7128775778,-0.5025629274,1.3907935849,0.9992947410,-0.0259785540,-0.0219785717,-0.0158769559
1520616230771211799,0.7129690818,-0.5027380120,1.3913256912,0.9992453576,-0.0273823065,-0.0226638819,-0.0156611951
1520616230779545799,0.7128589827,-0.5022097329,1.3907570645,0.9992903516,-0.0254311454,-0.0233717579,-0.0150270074
1520616230787878799,0.7131430614,-0.5024588931,1.3911794791,0.9993126085,-0.0247397921,-0.0232688712,-0.0148597683
1520616230796211799,0.7132285444,-0.5017636664,1.3909697622,0.9993487095,-0.0246882513,-0.0235704597,-0.0117081424
1520616230804544799,0.7131736786,-0.5019250700,1.3909061587,0.9993755474,-0.0229581205,-0.0236310264,-0.0127677144
1520616230812878799,0.7134962720,-0.5017999766,1.3910020071,0.9994012805,-0.0220059976,-0.0240745620,-0.0115426229
1520616230821211799,0.7137672040,-0.5017462908,1.3909596912,0.9994210417,-0.0204166193,-0.0248286819,-0.0111480798
1520616230829545799,0.7139282828,-0.5015573762,1.3908185534,0.9994529137,-0.0189452187,-0.0250870071,-0.0102758928
1520616230837878799,0.7138854263,-0.5011485618,1.3904811716,0.9994707597,-0.0174524843,-0.0257325380,-0.0095628374
1520616230846211799,0.7140628523,-0.5009769146,1.3903454020,0.9995028433,-0.0158191042,-0.0258868462,-0.0085844876
1520616230854545799,0.7142651533,-0.5007987254,1.3901979556,0.9995297908,-0.0142266211,-0.0260775239,-0.0076002220
1520616230862878799,0.7144377366,-0.5005624824,1.3899918413,0.9995551861,-0.0124100581,-0.0262674047,-0.0067412117
1520616230871211799,0.7145044969,-0.5002781675,1.3898916156,0.9995646763,-0.0117284068,-0.0265530676,-0.0052760790
1520616230879544799,0.7146781908,-0.5000448473,1.3898133754,0.9995739130,-0.0100738406,-0.0270086299,-0.0045873829
1520616230887878799,0.7148680243,-0.4998831836,1.3897638750,0.9995756304,-0.0088486229,-0.0274900870,-0.0038152462
1520616230896211799,0.7150270564,-0.4997061272,1.3897247508,0.9995747866,-0.0075990627,-0.0279696508,-0.0031935695
1520616230904545799,0.7151692055,-0.4994877768,1.3896554012,0.9995686747,-0.0064311260,-0.0285343870,-0.0026256487
1520616230912878799,0.7153686524,-0.4994646125,1.3897104364,0.9995453010,-0.0056646544,-0.0294934217,-0.0026909181
1520616230921211799,0.7154657586,-0.4992322486,1.3896273629,0.9995485901,-0.0050323381,-0.0295721301,-0.0016675389
1520616230929544799,0.7156296662,-0.4991404127,1.3896495310,0.9995488932,-0.0044133487,-0.0296841856,-0.0011754262
1520616230937878799,0.7157652000,-0.4990217264,1.3896327785,0.9995408875,-0.0039531527,-0.0300260294,-0.0009079284
1520616230946211799,0.7159209700,-0.4989268858,1.3896294717,0.9995376563,-0.0037538992,-0.0301655827,-0.0006476510
1520616230954545799,0.7160404229,-0.4988000497,1.3896342641,0.9995489321,-0.0033505417,-0.0298432047,-0.0002990507
1520616230962878799,0.7162035282,-0.4987478326,1.3896170735,0.9995540026,-0.0032159099,-0.0296892841,0.0000111606
1520616230971211799,0.7163377796,-0.4986489488,1.3896327345,0.9995594563,-0.0032096653,-0.0295054126,0.0001483490
1520616230979545799,0.7164910957,-0.4985984922,1.3896564226,0.9995624155,-0.0033433655,-0.0293884037,0.0003482127
1520616230987878799,0.7165977124,-0.4986172427,1.3897442025,0.9995676556,-0.0038612328,-0.0291430562,0.0005244267
1520616230996211799,0.7167210899,-0.4985641723,1.3897725362,0.9995740065,-0.0042679142,-0.0288658722,0.0005932531
1520616231004544799,0.7168395623,-0.4985406789,1.3897944765,0.9995786605,-0.0046458807,-0.0286454284,0.0005972826
1520616231012878799,0.7169497421,-0.4985161237,1.3898175977,0.9995830441,-0.0051913732,-0.0283972795,0.0006180834
1520616231021211799,0.7170397607,-0.4984956031,1.3897880239,0.9995843490,-0.0057245432,-0.0282515067,0.0004596091
1520616231029545799,0.7171534442,-0.4985123543,1.3897884662,0.9995905999,-0.0064117577,-0.0278808014,0.0004277208
1520616231037878799,0.7172799670,-0.4985419413,1.3897803343,0.9995968905,-0.0071237595,-0.0274800735,0.0003924928
1520616231046211799,0.7173831268,-0.4985106875,1.3897678235,0.9996019439,-0.0076302578,-0.0271603063,0.0002251154
1520616231054544799,0.7174983458,-0.4985484036,1.3897930612,0.9996038755,-0.0084146527,-0.0268561798,0.0001770415
1520616231062878799,0.7176174492,-0.4985998185,1.3898114999,0.9996019757,-0.0091855949,-0.0266741963,0.0000472565
1520616231071211799,0.7177505566,-0.4986451244,1.3897922042,0.9995954535,-0.0097972466,-0.0267004252,-0.0001747925
1520616231079545799,0.7178145794,-0.4987720166,1.3898826416,0.9995897374,-0.0106555419,-0.0265827624,-0.0004161079
1520616231087878799,0.7178772146,-0.4988345426,1.3899043579,0.9995798294,-0.0112034706,-0.0267205880,-0.0008105944
1520616231096211799,0.7179330564,-0.4989643389,1.3899671974,0.9995691618,-0.0118336137,-0.0268362551,-0.0011277376
1520616231104545799,0.7179489525,-0.4991088380,1.3900018476,0.9995512235,-0.0124240351,-0.0272067966,-0.0016688568
1520616231112878799,0.7179568392,-0.4992361367,1.3900514319,0.9995415837,-0.0126998655,-0.0273924149,-0.0022341549
1520616231121211799,0.7179794828,-0.4994186754,1.3900943773,0.9995303769,-0.0129399925,-0.0276507941,-0.0026487420
1520616231129544799,0.7180017495,-0.4995984739,1.3901257171,0.9995198847,-0.0129853190,-0.0279591618,-0.0031091534
1520616231137878799,0.7180352279,-0.4997599044,1.3900898939,0.9995216534,-0.0125961588,-0.0280457475,-0.0033522086
1520616231146211799,0.7180699296,-0.4999201343,1.3900392391,0.9995197554,-0.0121081820,-0.0282741362,-0.0037714442
1520616231154545799,0.7180905060,-0.5000473616,1.3899773528,0.9995173755,-0.0115754508,-0.0285310624,-0.0041235359
1520616231162878799,0.7181416950,-0.5002210129,1.3899257005,0.9995134584,-0.0110976027,-0.0288307362,-0.0042986434
1520616231171211799,0.7181896692,-0.5003557355,1.3897923588,0.9995137083,-0.0102069993,-0.0291228961,-0.0044744845
1520616231179544799,0.7183886604,-0.5005355238,1.3897613709,0.9995165138,-0.0093965757,-0.0292964138,-0.0044903407
1520616231187878799,0.7184472063,-0.5006346892,1.3896389419,0.9995167759,-0.0083349124,-0.0295878669,-0.0046154135
1520616231196211799,0.7185022551,-0.5007575388,1.3894950053,0.9995116322,-0.0074050161,-0.0299953312,-0.0046843244
1520616231204545799,0.7185734966,-0.5008857448,1.3893464661,0.9995183220,-0.0060247138,-0.0301089158,-0.0045033285
1520616231212878799,0.7186147271,-0.5009868580,1.3891400781,0.9995115935,-0.0046651805,-0.0305760224,-0.0044628834
1520616231221211799,0.7186915811,-0.5010672293,1.3889985319,0.9995088308,-0.0031046527,-0.0308908724,-0.0042675763
1520616231229545799,0.7185425224,-0.5010680570,1.3886694839,0.9994859760,-0.0013744450,-0.0316914915,-0.0046415583
1520616231237878799,0.7185674655,-0.5010674958,1.3884613977,0.9994740773,0.0003229178,-0.0321220193,-0.0044317427
1520616231246211799,0.7189120470,-0.5014638254,1.3884249658,0.9994594362,0.0031260688,-0.0323192073,-0.0051509233
1520616231254544799,0.7188642870,-0.5013859533,1.3882114321,0.9994351098,0.0040208479,-0.0330400302,-0.0046530065
1520616231262878799,0.7189276871,-0.5014965814,1.3880713356,0.9993928297,0.0060765717,-0.0339389425,-0.0050195009
1520616231271211799,0.7187995238,-0.5011727213,1.3878096689,0.9994196106,0.0059964917,-0.0334473196,-0.0024001923
1520616231279545799,0.7189985447,-0.5013072283,1.3876814780,0.9993912320,0.0085692060,-0.0337310664,-0.0024391048
1520616231287878799,0.7189146526,-0.5012162381,1.3874380495,0.9993647166,0.0098676139,-0.0341837628,-0.0020648910
1520616231296211799,0.7189717862,-0.5011777689,1.3873222683,0.9993446004,0.0109102268,-0.0344805939,-0.0015573145
1520616231304544799,0.7190633779,-0.5011388662,1.3872066233,0.9993251588,0.0117720893,-0.0347827140,-0.0008986863
1520616231312878799,0.7191602733,-0.5010922348,1.3870898211,0.9993132609,0.0125446501,-0.0348654612,-0.0001949218
1520616231321211799,0.7192467666,-0.5009960641,1.3869684172,0.9993066758,0.0131078683,-0.0348431692,0.0005522994
1520616231329545799,0.7194674612,-0.5009831817,1.3869302533,0.9993099465,0.0135152943,-0.0345697622,0.0013780762
1520616231337878799,0.7195610706,-0.5008983878,1.3868145695,0.9993123324,0.0138260329,-0.0343428705,0.0020664786
1520616231346211799,0.7196463125,-0.5008119961,1.3866953783,0.9993180231,0.0139936194,-0.0340615271,0.0027349022
1520616231354545799,0.7197301817,-0.5007386919,1.3865925508,0.9993284208,0.0139562366,-0.0337153731,0.0033472987
1520616231362878799,0.7198056366,-0.5006708918,1.3865120477,0.9993401604,0.0137092745,-0.0334168538,0.0038227464
1520616231371211799,0.7199217971,-0.5006898658,1.3865090238,0.9993396657,0.0135518945,-0.0335194906,0.0036086561
1520616231379544799,0.7199760633,-0.5006454974,1.3864648498,0.9993573189,0.0129658977,-0.0331855557,0.0039437973
1520616231387878799,0.7199213703,-0.5005385656,1.3863986063,0.9993900737,0.0115878238,-0.0325941832,0.0047772526
1520616231396211799,0.7198869654,-0.5004687668,1.3864003148,0.9994093757,0.0102875150,-0.0324291922,0.0048388276
1520616231404545799,0.7200002853,-0.5007142479,1.3865122265,0.9994133253,0.0103248386,-0.0324492746,0.0036670714
1520616231412878799,0.7199345833,-0.5005617045,1.3866071969,0.9994374695,0.0080709503,-0.0321722622,0.0049547830
1520616231421211799,0.7198799857,-0.5005408148,1.3866981372,0.9994448936,0.0065278836,-0.0323190331,0.0047719505
1520616231429544799,0.7198626021,-0.5005760927,1.3868096807,0.9994564067,0.0053486538,-0.0322088274,0.0045688575
1520616231437878799,0.7199140115,-0.5006973686,1.3869392940,0.9994732015,0.0048737615,-0.0318135885,0.0041786929
1520616231446211799,0.7198690919,-0.5007154685,1.3870399760,0.9994829236,0.0036145810,-0.0317208588,0.0038219444
1520616231454545799,0.7198281834,-0.5007250927,1.3871286412,0.9994955612,0.0026832440,-0.0314640620,0.0033817505
1520616231462878799,0.7197985083,-0.5007217465,1.3872300985,0.9995100385,0.0018036628,-0.0311116431,0.0029146836
1520616231471211799,0.7198057624,-0.5007905677,1.3873503301,0.9995095331,0.0013709232,-0.0312350463,0.0017848280
1520616231479545799,0.7197398353,-0.5008720872,1.3875073577,0.9995244617,0.0004258747,-0.0308059367,0.0012896783
1520616231487878799,0.7197255933,-0.5008135823,1.3874789630,0.9995262612,0.0001778426,-0.0307706139,0.0006251936
1520616231496211799,0.7196717594,-0.5009186053,1.3876310158,0.9995333389,-0.0005554556,-0.0305415623,0.0000940716
1520616231504544799,0.7196205606,-0.5009428629,1.3877128204,0.9995337605,-0.0009249259,-0.0305135601,-0.0005733153
1520616231512878799,0.7195615025,-0.5009834614,1.3878141866,0.9995317040,-0.0011864142,-0.0305525547,-0.0012274418
1520616231521211799,0.7195046808,-0.5010103758,1.3879030050,0.9995263131,-0.0013672558,-0.0306910241,-0.0018278649
1520616231529545799,0.7194521533,-0.5010530375,1.3879943455,0.9995185587,-0.0014095299,-0.0309022178,-0.0023910141
1520616231537878799,0.7193786850,-0.5010775248,1.3880891268,0.9995092859,-0.0014702130,-0.0311545213,-0.0029020140
1520616231546211799,0.7191098329,-0.5009612188,1.3880443441,0.9995098831,-0.0015586344,-0.0311293104,-0.0029206609
1520616231554544799,0.7190336283,-0.5009422000,1.3881221570,0.9995003536,-0.0013849243,-0.0314103225,-0.0032429487
1520616231562878799,0.7189791296,-0.5009411245,1.3882017224,0.9994908546,-0.0012388140,-0.0316819124,-0.0035711957
1520616231571211799,0.7189095440,-0.5009126295,1.3882829151,0.9994813960,-0.0008365973,-0.0319545587,-0.0038917033
1520616231579545799,0.7187203262,-0.5007850764,1.3883164919,0.9994604945,-0.0011565750,-0.0325640655,-0.0041187356
1520616231587878799,0.7186739429,-0.5005372953,1.3884817032,0.9994624986,-0.0021518966,-0.0326118884,-0.0025588891
1520616231596211799,0.7186554002,-0.5007966767,1.3885997168,0.9994542901,-0.0006625464,-0.0327482401,-0.0042703301
1520616231604545799,0.7183996876,-0.5008649268,1.3885033918,0.9994187502,0.0011610116,-0.0334928062,-0.0062486525
1520616231612878799,0.7182180614,-0.5007059094,1.3885969241,0.9994249056,0.0004090884,-0.0335172818,-0.0051266521
1520616231621211799,0.7181606911,-0.5007012498,1.3887067447,0.9993915690,0.0014161281,-0.0343252770,-0.0060217668
1520616231629544799,0.7180085791,-0.5006847023,1.3887177601,0.9993826849,0.0019420791,-0.0345606784,-0.0060030716
1520616231637878799,0.7178993298,-0.5007007654,1.3888603802,0.9993579028,0.0026718379,-0.0351283635,-0.0065300417
1520616231646211799,0.7178957240,-0.5007036791,1.3889906972,0.9993420218,0.0034663788,-0.0354901437,-0.0066300386
1520616231654545799,0.7177730131,-0.5007205753,1.3891079023,0.9993398816,0.0042773784,-0.0354902190,-0.0064768425
1520616231662878799,0.7174981543,-0.5005697932,1.3890837772,0.9993374104,0.0044354147,-0.0356325039,-0.0059491118
1520616231671211799,0.7172121073,-0.5003765981,1.3890354101,0.9993443326,0.0046416628,-0.0355272794,-0.0052127013
1520616231679544799,0.7170239889,-0.5002545110,1.3890808940,0.9993333397,0.0051182248,-0.0358015071,-0.0049931993
1520616231687878799,0.7167645508,-0.5002133356,1.3890540506,0.9992971175,0.0063825073,-0.0364635099,-0.0059115941
1520616231696211799,0.7166115908,-0.5000662682,1.3890914467,0.9992869606,0.0069360204,-0.0367056640,-0.0054914627
1520616231704545799,0.7165475135,-0.4999476054,1.3891798751,0.9992688576,0.0073098203,-0.0371915697,-0.0050103888
1520616231712878799,0.7164005392,-0.4998130636,1.3892142626,0.9992564530,0.0077256256,-0.0374941328,-0.0045875867
1520616231721211799,0.7162382578,-0.4996495413,1.3892988973,0.9992558736,0.0073786563,-0.0377130848,-0.0033132690
1520616231729545799,0.7160804440,-0.4995311226,1.3893559583,0.9992449668,0.0076680696,-0.0379801392,-0.0028646131
1520616231737878799,0.7159341250,-0.4993826906,1.3893792262,0.9992340127,0.0080698191,-0.0382075247,-0.0025398517
1520616231746211799,0.7158174741,-0.4992729774,1.3893920217,0.9992248949,0.0083590502,-0.0384106444,-0.0020876156
1520616231754544799,0.7155771241,-0.4990237407,1.3893052247,0.9992351893,0.0084048143,-0.0381722305,-0.0011297961
1520616231762878799,0.7154553734,-0.4988765359,1.3892942033,0.9992333557,0.0086836428,-0.0381686200,-0.0006720694
1520616231771211799,0.7153554828,-0.4987332402,1.3892675115,0.9992315938,0.0089657078,-0.0381545505,-0.0002613376
1520616231779545799,0.7152597073,-0.4985992523,1.3892454716,0.9992332593,0.0092566357,-0.0380420236,0.0001126588
1520616231787878799,0.7151587139,-0.4984761380,1.3892415540,0.9992347811,0.0094823588,-0.0379441179,0.0004254588
1520616231796211799,0.7150270957,-0.4983369882,1.3892457477,0.9992349673,0.0096787317,-0.0378874083,0.0005886296
1520616231804544799,0.7148822160,-0.4982384479,1.3892720460,0.9992356665,0.0098795280,-0.0378167362,0.0006100448
1520616231812878799,0.7147509427,-0.4981521862,1.3893120170,0.9992346974,0.0100143549,-0.0378078534,0.0005462512
1520616231821211799,0.7146132599,-0.4980776127,1.3893714485,0.9992371177,0.0101129182,-0.0377187761,0.0004532232
1520616231829545799,0.7145566246,-0.4980690533,1.3895130720,0.9992546768,0.0096834661,-0.0373632946,0.0005528743
1520616231837878799,0.7143185913,-0.4979002597,1.3895404379,0.9992414084,0.0100055192,-0.0376361961,0.0001186033
1520616231846211799,0.7141490712,-0.4978427213,1.3896091702,0.9992452288,0.0099071343,-0.0375603854,-0.0001969457
1520616231854545799,0.7139744112,-0.4978124768,1.3897000981,0.9992481326,0.0098701635,-0.0374870587,-0.0006853677
1520616231862878799,0.7138158249,-0.4977709804,1.3898376959,0.9992549181,0.0094586263,-0.0374065081,-0.0009466459
1520616231871211799,0.7136349593,-0.4976631750,1.3899780044,0.9992695454,0.0094671913,-0.0369999114,-0.0013245339
1520616231879544799,0.7134604226,-0.4976478150,1.3900554678,0.9992595659,0.0094345292,-0.0372501445,-0.0019329835
1520616231887878799,0.7132928003,-0.4975830173,1.3901760953,0.9992680992,0.0089701429,-0.0371162420,-0.0022775177
1520616231896211799,0.7131169183,-0.4975341383,1.3902923819,0.9992702551,0.0088162382,-0.0370583677,-0.0028122085
1520616231904545799,0.7129480385,-0.4974607993,1.3904622643,0.9992791018,0.0081584730,-0.0369485342,-0.0030857616
1520616231912878799,0.7127231659,-0.4974007619,1.3905490433,0.9992871931,0.0082846244,-0.0366528981,-0.0036105012
1520616231921211799,0.7127581526,-0.4975013814,1.3909047576,0.9993084554,0.0068065452,-0.0363924362,-0.0034456406
1520616231929544799,0.7125764089,-0.4974409385,1.3909809959,0.9993070293,0.0071797236,-0.0362955215,-0.0040678968
1520616231937878799,0.7124097957,-0.4973415920,1.3911002410,0.9993185126,0.0065756820,-0.0360882533,-0.0041120187
1520616231946211799,0.7122655894,-0.4972738485,1.3911943756,0.9993247333,0.0062148302,-0.0359624766,-0.0042606956
1520616231954545799,0.7121163761,-0.4971984227,1.3912731906,0.9993283897,0.0059004331,-0.0358919183,-0.0044412389
1520616231962878799,0.7118625207,-0.4970668993,1.3912838711,0.9993279586,0.0053434997,-0.0359693569,-0.0046134179
1520616231971211799,0.7117205308,-0.4969984905,1.3913629682,0.9993363096,0.0050563992,-0.0357611106,-0.0047451065
1520616231979545799,0.7115686537,-0.4969260741,1.3914192817,0.9993444676,0.0048404646,-0.0355438553,-0.0048825432
1520616231987878799,0.7114283359,-0.4968774447,1.3914550969,0.9993528081,0.0046821479,-0.0353168933,-0.0049758998
1520616231996211799,0.7113479901,-0.4970294783,1.3914686557,0.9993426579,0.0054550864,-0.0352457141,-0.0064987577
1520616232004544799,0.7111823222,-0.4969299997,1.3914541329,0.9993540894,0.0055332731,-0.0348821994,-0.0066346892
1520616232012878799,0.7110403549,-0.4968601947,1.3914561792,0.9993643674,0.0055485277,-0.0345632544,-0.0067421471
1520616232021211799,0.7108995085,-0.4967905949,1.3914298245,0.9993741820,0.0056530613,-0.0342452871,-0.0068225747
1520616232029545799,0.7108097825,-0.4967065952,1.3913902766,0.9993860634,0.0057259775,-0.0339356985,-0.0065633664
1520616232037878799,0.7106799129,-0.4966634600,1.3913452202,0.9993889036,0.0061596849,-0.0337339621,-0.0067747686
1520616232046211799,0.7105413998,-0.4964548432,1.3912166893,0.9993927485,0.0065079332,-0.0335805124,-0.0066430545
1520616232054544799,0.7103669895,-0.4964365741,1.3912193094,0.9993960329,0.0066923261,-0.0334007829,-0.0068680311
1520616232062878799,0.7102846861,-0.4963630722,1.3911531409,0.9993993464,0.0071253096,-0.0332492668,-0.0066830111
1520616232071211799,0.7101487187,-0.4962773655,1.3910659353,0.9994019118,0.0075627471,-0.0330969447,-0.0065738658
1520616232079545799,0.7099705514,-0.4961442229,1.3910204460,0.9994023247,0.0078363573,-0.0330088663,-0.0066332215
1520616232087878799,0.7098807406,-0.4960177298,1.3908535357,0.9993975743,0.0085163776,-0.0330430722,-0.0063336577
1520616232096211799,0.7096588664,-0.4958692287,1.3907942311,0.9993958819,0.0088309767,-0.0329774262,-0.0065095732
1520616232104545799,0.7095211982,-0.4957573923,1.3907493379,0.9993909368,0.0092093118,-0.0330416221,-0.0064183445
1520616232112878799,0.7093257046,-0.4954254929,1.3907442513,0.9994041572,0.0087536260,-0.0329998225,-0.0050711254
1520616232121211799,0.7092128955,-0.4954706127,1.3908528575,0.9993785157,0.0087574745,-0.0336351773,-0.0058791085
1520616232129544799,0.7090813166,-0.4952210198,1.3907590092,0.9993611063,0.0093219577,-0.0340275208,-0.0057103520
1520616232137878799,0.7089278478,-0.4951346298,1.3908687319,0.9993608100,0.0092294146,-0.0341043977,-0.0054478745
1520616232146211799,0.7088701571,-0.4950151714,1.3908363652,0.9993543336,0.0100257483,-0.0341182474,-0.0051327924
1520616232154545799,0.7086328643,-0.4948250398,1.3908132434,0.9993515251,0.0101946859,-0.0341961532,-0.0048187935
1520616232162878799,0.7086123094,-0.4947207195,1.3909457848,0.9993494953,0.0101882168,-0.0343198381,-0.0043514582
1520616232171211799,0.7083705183,-0.4943294384,1.3909375800,0.9993604900,0.0097338799,-0.0342757266,-0.0030061821
1520616232179544799,0.7081788983,-0.4941238891,1.3909990099,0.9993537721,0.0098596458,-0.0344567542,-0.0027491312
1520616232187878799,0.7079697219,-0.4939101321,1.3910672953,0.9993475222,0.0099536126,-0.0346270085,-0.0025348944
1520616232196211799,0.7077578166,-0.4937115585,1.3911497266,0.9993404469,0.0099951835,-0.0348310896,-0.0023585511
1520616232204545799,0.7073855333,-0.4934140360,1.3911409892,0.9993293192,0.0101188569,-0.0351175960,-0.0022967421
1520616232212878799,0.7071577559,-0.4931926964,1.3912776912,0.9993245966,0.0098860756,-0.0353406196,-0.0019122686
1520616232221211799,0.7070439085,-0.4931185431,1.3914484147,0.9992915902,0.0107506974,-0.0359249352,-0.0031842219
1520616232229545799,0.7067365991,-0.4928870486,1.3915639901,0.9993011118,0.0100585201,-0.0359177403,-0.0024555991
1520616232237878799,0.7065413356,-0.4927135586,1.3917002448,0.9992905757,0.0102080152,-0.0361447732,-0.0027743667
1520616232246211799,0.7064425145,-0.4926156128,1.3919334221,0.9992970427,0.0099495015,-0.0360482846,-0.0026360861
1520616232254544799,0.7060414781,-0.4922564467,1.3919774576,0.9993207135,0.0093801726,-0.0355865881,-0.0019283893
1520616232262878799,0.7056137410,-0.4919918592,1.3920185709,0.9993219994,0.0092449097,-0.0355742127,-0.0021327563
1520616232271211799,0.7053390789,-0.4919376169,1.3921415522,0.9993128480,0.0101179074,-0.0354882685,-0.0034702340
1520616232279545799,0.7051429416,-0.4917087927,1.3923796351,0.9993158792,0.0089652676,-0.0357507669,-0.0030463492
1520616232287878799,0.7048553349,-0.4915300318,1.3925221385,0.9993244147,0.0086639290,-0.0355738011,-0.0031867094
1520616232296211799,0.7045451962,-0.4913673610,1.3926858178,0.9993337017,0.0082602015,-0.0353835345,-0.0034535840
1520616232304544799,0.7041989884,-0.4911848233,1.3928203720,0.9993445376,0.0079071104,-0.0351209923,-0.0038064069
1520616232312878799,0.7040454653,-0.4912241002,1.3932111357,0.9993765602,0.0069908529,-0.0344124452,-0.0036609461
1520616232321211799,0.7037316511,-0.4911499624,1.3933609223,0.9993889701,0.0064073501,-0.0341427371,-0.0038608086
1520616232329545799,0.7034076358,-0.4909748460,1.3934872119,0.9993928960,0.0059914023,-0.0340584906,-0.0042381410
1520616232337878799,0.7029483079,-0.4907223681,1.3934978580,0.9993965598,0.0058443628,-0.0339241216,-0.0046382709
